lat	lon	ele
45.564909	6.682079	824.2
45.564899	6.681937	824.2
45.564889	6.6818	824.2
45.564867	6.681523	825.6
45.56486	6.681385	825.6
45.564855	6.681247	825.6
45.564849	6.681113	827
45.56482	6.68086	827
45.564796	6.680731	827
45.564774	6.68061	828
45.564754	6.680492	828
45.564701	6.680251	828
45.564667	6.680126	828
45.564632	6.679997	829.4
45.564603	6.679872	829.4
45.56455	6.679632	829.4
45.56451	6.679486	829.4
45.564469	6.679341	829.4
45.56442	6.679193	829.4
45.564347	6.678965	829.4
45.564273	6.678738	829.4
45.564221	6.67857	829.4
45.564171	6.6784	829.4
45.564087	6.678147	829.4
45.564002	6.677895	828.2
45.563939	6.677715	828.2
45.563874	6.677543	827.2
45.563761	6.677289	827.2
45.563647	6.677036	825.8
45.563548	6.676852	825.8
45.56345	6.676683	824
45.563299	6.676437	824
45.563148	6.676191	822.2
45.563049	6.676017	821.2
45.562958	6.675837	820.2
45.562832	6.675551	819
